FID;objectid;jaartal_registratie;id;typesensor;xcod;ycod;naam;aantalcameras;verantwoordelijke;doelstelling;grondslag;aardvandedata;bewaartermijn;levering_derden;toegang;foto;beveiligingseisen;jaartalingang;datum_einde;lon;lat;geom
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-536a;;;;Slimme verlichting;235462.997;576800.365;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59052938;53.17184827;POINT (235462.99659913796 576800.3649984018)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5369;;;;Slimme verlichting;235452.362;576774.895;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59036401;53.17162104;POINT (235452.36209914123 576774.8945984024)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5368;;;;Slimme verlichting;235467.344;576782.288;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59058986;53.17168521;POINT (235467.34399914023 576782.2881984003)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5367;;;;Slimme verlichting;235481.742;576788.904;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59080679;53.17174249;POINT (235481.74209913998 576788.9035984018)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5366;;;;Slimme verlichting;235495.848;576795.908;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59101946;53.1718033;POINT (235495.8484991379 576795.9080984038)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5365;;;;Slimme verlichting;235467.928;576743.18;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59058882;53.17133377;POINT (235467.92769914152 576743.1796984011)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5364;;;;Slimme verlichting;235482.423;576749.99;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59080725;53.17139278;POINT (235482.42309913808 576749.9895984009)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5363;;;;Slimme verlichting;235496.335;576757.091;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59101703;53.17145449;POINT (235496.33489913866 576757.0913984061)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5362;;;;Slimme verlichting;235511.706;576764.68;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59124875;53.17152036;POINT (235511.70589913795 576764.6796984032)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5361;;;;Slimme verlichting;235510.344;576803.205;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59123801;53.17186668;POINT (235510.34389913816 576803.2044984034)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-5360;;;;Slimme verlichting;235523.575;576809.236;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59143734;53.17191888;POINT (235523.57459913916 576809.2360984045)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-535f;;;;Slimme verlichting;235538.459;576816.435;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59166169;53.17198132;POINT (235538.45919913775 576816.4351983996)
Sensorenregister gemeente Groningen.fid--641af124_1957f09e0d5_-535e;;;;Slimme verlichting;235553.052;576823.342;;;Dir. Stadsbeheer, afd. Beheer Openbare Ruimte;Veiligheid en energiebesparing;Artikel 14, wegen en verkeersveiligheid;Data wordt niet bewaard;N.v.t;Nee;Specialist verlichting;;Voldoet aan AVG;2012;Doorlopend;6.59188161;53.17204118;POINT (235553.0519991401 576823.3423984026)
